1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,167.0,166.0,190.0,,,-80.58,-83.75,-122.68,-156.0,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-79.95,-85.69,-90.16,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-79.95,-85.69,-90.16,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-78.77,-84.21,-88.14,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-78.77,-84.21,-88.14,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-78.77,-84.21,-88.14,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-78.23,-84.32,-122.63,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-78.23,-84.32,-122.63,,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,,,,-77.29,-86.8,-88.72,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-77.29,-86.8,-88.72,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-77.29,-86.8,-88.72,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-77.02,-86.05,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-77.02,-86.05,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-77.02,-86.05,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-76.13,-86.88,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-76.13,-86.88,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.51,-85.56,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.51,-85.56,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.51,-85.56,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.16,-83.96,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.16,-83.96,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.55,-119.67,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.55,-119.67,-156.0,,,,-0.1272654525203153,2.521977410038395
169.0,167.0,166.0,,,,-74.55,-119.67,-156.0,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-73.69,-84.92,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-73.69,-84.92,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-73.69,-84.92,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-72.65,-120.21,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-72.65,-120.21,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-72.65,-120.21,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-71.43,-81.49,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-71.43,-81.49,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-71.02,-80.72,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-71.02,-80.72,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-71.02,-80.72,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-70.24,-81.84,,,,,-0.0852314778831608,2.7905116369320626
169.0,167.0,,,,,-70.24,-81.84,,,,,-0.0852314778831608,2.7905116369320626
169.0,,,,,,-70.64,,,,,,-0.0852314778831608,2.7905116369320626
169.0,,,,,,-70.64,,,,,,-0.0602890808226164,3.051124710113435
169.0,,,,,,-70.64,,,,,,-0.0602890808226164,3.051124710113435
169.0,,,,,,-70.64,,,,,,-0.0602890808226164,3.051124710113435
169.0,,,,,,-70.64,,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-70.54,-119.27,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-70.54,-119.27,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-70.54,-119.27,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-70.54,-119.27,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-70.54,-119.27,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-69.92,-81.73,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,,,,,-69.92,-81.73,,,,,-0.0602890808226164,3.051124710113435
