166,167,168,169,189,190,x,y
-83.82,-82.85,,-71.63,-82.77,,0.1411714283558072,4.637530938874336
-83.82,-82.85,,-71.63,-82.77,,0.1411714283558072,4.637530938874336
-83.82,-82.85,,-71.63,-82.77,,0.1411714283558072,4.637530938874336
-83.82,-82.85,,-71.63,-82.77,,0.1411714283558072,4.637530938874336
-83.82,-82.85,,-71.63,-82.77,,0.1411714283558072,4.637530938874336
-150.97,-82.36,,-74.11,-156.0,,0.1411714283558072,4.637530938874336
-150.97,-82.36,,-74.11,-156.0,,0.1411714283558072,4.637530938874336
-150.97,-82.36,,-74.11,-156.0,,0.1411714283558072,4.637530938874336
-90.77,-86.88,,-75.38,,,0.1411714283558072,4.637530938874336
-90.77,-86.88,,-75.38,,,0.1411714283558072,4.637530938874336
-90.77,-86.88,,-75.38,,,0.1411714283558072,4.637530938874336
-81.76,-79.05,,-70.71,,,0.1411714283558072,4.637530938874336
-81.76,-79.05,,-70.71,,,0.1591923394326249,4.900870971033044
-81.76,-79.05,,-70.71,,,0.1591923394326249,4.900870971033044
-87.09,-86.38,,-70.38,,,0.1591923394326249,4.900870971033044
-87.09,-86.38,,-70.38,,,0.1591923394326249,4.900870971033044
-87.09,-86.38,,-70.38,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-90.59,-156.0,,-71.46,,,0.1591923394326249,4.900870971033044
-86.76,-83.25,,-69.42,,,0.1591923394326249,4.900870971033044
-86.76,-83.25,,-69.42,,,0.1591923394326249,4.900870971033044
-86.76,-83.25,,-69.42,,,0.1591923394326249,4.900870971033044
-86.76,-83.25,,-69.42,,,0.1670096875481751,5.180102208196933
-86.76,-83.25,,-69.42,,,0.1670096875481751,5.180102208196933
-86.76,-83.25,,-69.42,,,0.1670096875481751,5.180102208196933
,-82.98,,-70.71,,,0.1670096875481751,5.180102208196933
,-82.98,,-70.71,,,0.1670096875481751,5.180102208196933
,-82.98,,-70.71,,,0.1670096875481751,5.180102208196933
,-84.02,,-70.88,,,0.1670096875481751,5.180102208196933
,-84.02,,-70.88,,,0.1670096875481751,5.180102208196933
,-84.02,,-70.88,,,0.1670096875481751,5.180102208196933
,-84.02,,-70.88,,,0.1670096875481751,5.180102208196933
-121.91,-81.84,,-73.11,,,0.1670096875481751,5.180102208196933
-121.91,-81.84,,-73.11,,,0.1670096875481751,5.180102208196933
-121.91,-81.84,,-73.11,,,0.1670096875481751,5.180102208196933
-121.91,-81.84,,-73.11,,,0.1670096875481751,5.180102208196933
-121.91,-81.84,,-73.11,,,0.1670096875481751,5.180102208196933
,-81.84,,-69.77,,,0.1772837276634789,5.444552638639245
,-81.84,,-69.77,,,0.1772837276634789,5.444552638639245
,-81.84,,-69.77,,,0.1772837276634789,5.444552638639245
,-81.84,,-69.77,,,0.1772837276634789,5.444552638639245
,-81.84,,-69.77,,,0.1772837276634789,5.444552638639245
-88.54,-80.18,,-70.12,,,0.1772837276634789,5.444552638639245
-88.54,-80.18,,-70.12,,,0.1772837276634789,5.444552638639245
-88.54,-80.18,,-70.12,,,0.1772837276634789,5.444552638639245
-88.54,-80.18,,-70.12,,,0.1772837276634789,5.444552638639245
-88.54,-80.18,,-70.12,,,0.1772837276634789,5.444552638639245
-81.91,-80.67,,-66.96,,,0.1772837276634789,5.444552638639245
-81.91,-80.67,,-66.96,,,0.1772837276634789,5.444552638639245
-81.91,-80.67,,-66.96,,,0.1772837276634789,5.444552638639245
-86.47,-81.58,,-71.59,,,0.1772837276634789,5.444552638639245
-86.47,-81.58,,-71.59,,,0.1772837276634789,5.444552638639245
-86.47,-81.58,,-71.59,,,0.2053375140767074,5.712701279604556
-84.26,-81.33,,-69.16,,,0.2053375140767074,5.712701279604556
-84.26,-81.33,,-69.16,,,0.2053375140767074,5.712701279604556
-84.26,-81.33,,-69.16,,,0.2053375140767074,5.712701279604556
-84.55,-79.52,,-70.1,,,0.2053375140767074,5.712701279604556
-84.55,-79.52,,-70.1,,,0.2053375140767074,5.712701279604556
-84.55,-79.52,,-70.1,,,0.2053375140767074,5.712701279604556
-84.55,-79.52,,-70.1,,,0.2053375140767074,5.712701279604556
-84.55,-79.52,,-70.1,,,0.2053375140767074,5.712701279604556
-84.3,,,-72.71,,,0.2053375140767074,5.712701279604556
-84.3,,,-72.71,,,0.2053375140767074,5.712701279604556
-84.3,,,-72.71,,,0.2053375140767074,5.712701279604556
-84.3,,,-72.71,,,0.2053375140767074,5.712701279604556
,-83.08,,-71.27,,,0.2053375140767074,5.712701279604556
,-83.08,,-71.27,,,0.3194539056293934,5.956625333717278
,-82.8,,-71.47,,,0.3194539056293934,5.956625333717278
,-82.8,,-71.47,,,0.3194539056293934,5.956625333717278
,-82.8,,-71.47,,,0.3194539056293934,5.956625333717278
,-118.91,,-69.76,,,0.3194539056293934,5.956625333717278
,-118.91,,-69.76,,,0.3194539056293934,5.956625333717278
,-118.91,,-69.76,,,0.3194539056293934,5.956625333717278
,-86.43,,-72.04,,,0.3194539056293934,5.956625333717278
,-86.43,,-72.04,,,0.3194539056293934,5.956625333717278
-156.0,-83.28,,-69.81,,,0.3194539056293934,5.956625333717278
-156.0,-83.28,,-69.81,,,0.3194539056293934,5.956625333717278
